Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,seasonYear
14,Isaac Gard,G,5,0,1.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,2023
15,Justin Taphorn,G,5,0,1.2,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2023
16,Team Totals,,35,35,204.3,23.7,57.3,0.414,7.9,23.1,0.342,15.9,34.2,0.463,0.483,9.9,14.3,0.691,7.9,23.8,31.7,11.6,5.9,1.5,8.6,15.8,65.3,,2023
1,Johnny Davis,G,31,31,34.2,6.8,15.9,0.427,1.2,3.9,0.306,5.6,12.0,0.466,0.464,5.0,6.3,0.791,1.3,6.9,8.2,2.1,1.2,0.7,2.3,2.0,19.7,"AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1",2022
2,Brad Davison,G,33,33,34.4,4.2,11.0,0.384,2.4,6.8,0.347,1.8,4.2,0.445,0.492,3.3,3.8,0.864,0.3,3.7,4.0,2.1,0.8,0.0,0.9,2.4,14.1,,2022
3,Tyler Wahl,F,32,32,30.5,4.5,8.8,0.516,0.2,1.2,0.162,4.3,7.6,0.57,0.527,2.2,3.1,0.7,1.6,4.3,5.9,1.5,1.2,0.8,1.6,2.5,11.4,,2022
4,Steven Crowl,F,33,33,25.3,3.5,7.0,0.496,0.8,2.5,0.317,2.7,4.5,0.595,0.552,1.1,1.4,0.8,1.5,2.9,4.4,1.5,0.3,0.3,0.9,2.5,8.8,,2022
5,Chucky Hepburn,G,33,33,31.0,2.8,7.2,0.388,1.2,3.4,0.348,1.6,3.8,0.424,0.47,1.2,1.7,0.696,0.2,1.9,2.1,2.3,1.1,0.2,1.2,2.1,7.9,,2022
6,Lorne Bowman II,G,22,0,10.4,1.0,2.8,0.344,0.5,1.4,0.4,0.4,1.4,0.29,0.443,0.5,1.1,0.48,0.1,1.0,1.1,0.5,0.3,0.0,0.6,1.1,3.0,,2022
7,Chris Vogt,C,33,0,12.8,1.2,2.4,0.5,0.0,0.0,0.0,1.2,2.3,0.506,0.5,0.6,1.1,0.514,1.5,1.6,3.1,0.6,0.3,0.8,0.5,2.3,2.9,,2022
8,Ben Carlson,F,32,2,9.1,0.7,2.1,0.333,0.0,0.7,0.048,0.7,1.4,0.467,0.341,0.2,0.4,0.538,0.8,1.3,2.0,0.1,0.1,0.0,0.3,0.5,1.6,,2022
9,Jahcobi Neath,G,23,1,9.7,0.5,1.9,0.256,0.2,0.8,0.222,0.3,1.1,0.28,0.302,0.5,0.7,0.733,0.4,1.1,1.5,0.3,0.2,0.0,0.3,0.6,1.6,,2022
10,Jordan Davis,G,27,0,6.5,0.5,1.5,0.325,0.3,1.0,0.286,0.2,0.4,0.417,0.425,0.0,0.1,0.333,0.3,0.6,0.9,0.1,0.1,0.1,0.2,0.7,1.3,,2022
11,Carter Gilmore,F,22,0,7.9,0.3,1.2,0.259,0.0,0.6,0.077,0.3,0.6,0.429,0.278,0.2,0.3,0.571,0.3,0.7,1.0,0.4,0.1,0.2,0.1,0.9,0.9,,2022
12,Markus Ilver,F,8,0,3.6,0.1,1.0,0.125,0.0,0.6,0.0,0.1,0.4,0.333,0.125,0.4,0.5,0.75,0.1,0.4,0.5,0.0,0.0,0.0,0.3,0.9,0.6,,2022
13,Isaac Lindsey,G,6,0,2.2,0.2,0.8,0.2,0.2,0.5,0.333,0.0,0.3,0.0,0.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,2022
14,Carter Higginbottom,G,6,0,1.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,,2022
15,Justin Taphorn,G,4,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,,2022
16,Team Totals,,33,33,200.0,24.7,58.5,0.422,6.5,21.1,0.306,18.2,37.4,0.487,0.477,14.1,19.0,0.743,9.3,25.7,35.0,11.1,5.3,2.9,8.7,16.8,69.9,,2022
1,Nate Reuvers,F,31,31,26.2,4.7,10.6,0.448,1.0,2.9,0.337,3.8,7.7,0.49,0.494,2.6,3.3,0.786,1.1,3.4,4.5,0.6,0.5,1.9,1.5,3.1,13.1,,2020
2,Micah Potter,F,21,3,17.5,3.6,6.9,0.528,1.1,2.4,0.451,2.5,4.4,0.57,0.608,1.8,2.0,0.86,1.6,4.7,6.2,0.4,0.4,1.0,1.6,1.7,10.1,,2020
3,Kobe King,G,19,19,28.5,3.8,8.4,0.459,0.4,1.5,0.25,3.5,6.9,0.504,0.481,1.9,2.9,0.673,1.2,1.7,2.8,1.6,0.5,0.3,1.5,1.4,10.0,,2020
4,Brad Davison,G,30,30,30.9,3.1,7.8,0.395,1.6,4.4,0.359,1.5,3.4,0.441,0.496,2.2,2.6,0.844,0.5,3.8,4.3,1.9,0.8,0.0,0.9,2.4,9.9,,2020
5,D'Mitrik Trice,G,31,31,32.2,3.4,8.8,0.38,1.8,4.8,0.376,1.5,4.0,0.384,0.482,1.3,1.8,0.745,0.3,3.8,4.0,4.2,0.8,0.1,1.7,1.2,9.8,,2020
6,Aleem Ford,F,31,31,25.1,3.1,7.2,0.432,1.3,3.9,0.342,1.8,3.3,0.539,0.525,1.1,1.6,0.694,1.2,3.2,4.4,1.1,0.5,0.4,1.0,2.0,8.6,,2020
7,Brevin Pritzl,G,31,7,27.1,2.6,6.8,0.389,1.6,4.4,0.37,1.0,2.5,0.421,0.507,1.1,1.3,0.85,0.8,3.0,3.7,0.7,0.5,0.2,0.7,1.6,8.0,,2020
8,Tyler Wahl,F,31,3,15.4,1.1,2.5,0.43,0.2,0.9,0.214,0.9,1.6,0.549,0.468,0.2,0.6,0.389,1.1,1.5,2.6,1.0,0.6,0.2,1.1,2.1,2.6,,2020
9,Trevor Anderson,G,31,0,12.3,0.6,1.6,0.388,0.2,0.8,0.28,0.4,0.8,0.5,0.459,0.4,0.5,0.786,0.2,1.1,1.3,1.2,0.1,0.0,0.5,0.6,1.8,,2020
10,Walt McGrory,G,14,0,4.1,0.4,0.9,0.385,0.1,0.5,0.286,0.2,0.4,0.5,0.462,0.2,0.3,0.75,0.1,0.5,0.6,0.4,0.1,0.0,0.1,0.6,1.1,,2020
11,Michael Ballard,G,10,0,0.9,0.1,0.1,1.0,0.0,0.0,,0.1,0.1,1.0,1.0,0.2,0.2,1.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.4,,2020
12,Joe Hedstrom,C,6,0,2.3,0.2,0.3,0.5,0.0,0.0,,0.2,0.3,0.5,0.5,0.0,0.0,,0.2,0.2,0.3,0.0,0.0,0.0,0.2,0.5,0.3,,2020
13,Courtland Cuevas,F,6,0,1.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,,2020
14,Carter Higginbottom,G,9,0,1.0,0.0,0.1,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,0.0,0.0,,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,,2020
15,Samad Qawi,F,7,0,0.9,0.0,0.1,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,0.0,0.0,,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.0,,2020
16,Team Totals,,31,31,200.8,23.5,55.4,0.425,8.7,24.6,0.352,14.9,30.8,0.483,0.503,11.4,14.9,0.764,8.1,25.8,33.9,12.0,4.5,3.7,10.0,15.4,67.2,,2020
1.0,D'Mitrik Trice,G,31,31,33.3,4.6,11.3,0.41,2.0,5.4,0.373,2.6,6.0,0.443,0.499,2.6,3.3,0.792,0.1,3.3,3.4,4.0,0.8,0.0,1.8,1.6,13.9,,2021
2.0,Micah Potter,F,31,20,22.2,4.5,9.0,0.504,1.3,3.3,0.386,3.3,5.8,0.57,0.573,2.2,2.6,0.84,1.8,4.1,5.9,1.4,0.5,0.7,1.4,2.0,12.5,,2021
3.0,Brad Davison,G,31,31,31.0,2.9,8.5,0.345,2.0,5.2,0.389,0.9,3.3,0.275,0.464,2.1,2.5,0.868,0.3,3.2,3.5,2.4,1.1,0.0,0.9,2.3,10.0,,2021
4.0,Aleem Ford,F,31,31,26.4,3.2,7.9,0.406,1.5,4.4,0.341,1.7,3.5,0.486,0.5,0.8,1.0,0.781,0.8,3.4,4.2,1.1,0.6,0.5,0.9,2.0,8.7,,2021
5.0,Nate Reuvers,F,31,24,21.0,3.2,7.7,0.42,0.6,2.0,0.286,2.6,5.6,0.469,0.458,1.3,1.6,0.78,1.0,2.3,3.3,0.7,0.3,1.3,1.0,2.2,8.3,,2021
6.0,Johnny Davis,G,31,0,24.3,2.8,6.3,0.441,0.5,1.2,0.389,2.3,5.1,0.453,0.477,1.0,1.4,0.727,1.1,3.0,4.1,1.1,1.1,0.6,1.1,2.1,7.0,,2021
7.0,Tyler Wahl,F,31,18,24.7,1.9,4.3,0.436,0.3,1.2,0.278,1.5,3.1,0.495,0.474,1.1,1.9,0.567,1.1,3.2,4.3,1.4,1.0,0.7,0.9,2.2,5.2,,2021
8.0,Trevor Anderson,G,29,0,14.2,1.1,2.1,0.532,0.4,0.8,0.542,0.7,1.3,0.526,0.637,0.4,0.6,0.667,0.3,1.1,1.4,1.2,0.2,0.0,0.4,0.8,3.1,,2021
9.0,Ben Carlson,F,7,0,9.1,0.9,1.6,0.545,0.1,0.4,0.333,0.7,1.1,0.625,0.591,1.0,1.1,0.875,0.1,0.7,0.9,0.6,0.1,0.4,0.1,1.4,2.9,,2021
10.0,Steven Crowl,F,12,0,3.3,0.3,0.7,0.5,0.0,0.1,0.0,0.3,0.6,0.571,0.5,0.0,0.0,,0.3,0.4,0.8,0.2,0.0,0.1,0.3,0.8,0.7,,2021
11,Jordan Davis,G,13,0,1.5,0.2,0.5,0.5,0.2,0.4,0.4,0.1,0.1,1.0,0.667,0.0,0.0,,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.6,,2021
12,Joe Hedstrom,C,9,0,1.7,0.1,0.4,0.25,0.1,0.1,1.0,0.0,0.3,0.0,0.375,0.1,0.2,0.5,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.4,0.4,,2021
13,Carter Gilmore,F,9,0,1.9,0.1,0.6,0.2,0.0,0.4,0.0,0.1,0.1,1.0,0.2,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.2,0.2,,2021
14,Carter Higginbottom,G,9,0,1.1,0.0,0.4,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.1,0.0,,2021
15,Justin Taphorn,G,6,0,1.3,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,,2021
16,Walt McGrory,G,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2021
17,Team Totals,,31,31,201.6,24.7,58.3,0.425,8.7,23.8,0.364,16.1,34.5,0.466,0.499,11.7,15.3,0.768,8.2,25.4,33.6,13.4,5.6,4.0,9.0,16.1,69.9,,2021
1,John Tonje,G,37,37,31.1,5.5,11.9,0.465,2.3,5.9,0.388,3.2,5.9,0.541,0.562,6.2,6.9,0.909,0.8,4.5,5.3,1.8,0.7,0.2,1.8,1.7,19.6,,2025
2,John Blackwell,G,37,37,31.2,5.5,12.2,0.451,1.6,4.9,0.322,3.9,7.3,0.537,0.516,3.2,3.9,0.815,1.0,4.1,5.1,2.2,0.9,0.1,2.1,2.5,15.8,,2025
3,Steven Crowl,F,37,37,25.6,3.8,7.0,0.539,0.9,2.1,0.416,2.9,4.9,0.591,0.601,1.5,1.8,0.821,1.4,3.9,5.3,2.4,0.5,0.5,1.4,2.1,9.9,,2025
4,Nolan Winter,F,37,37,21.1,3.4,6.1,0.564,0.9,2.6,0.358,2.5,3.5,0.715,0.64,1.6,2.1,0.769,1.7,4.1,5.8,1.1,0.4,0.4,0.8,1.6,9.4,,2025
5,Max Klesmit,G,33,33,27.6,2.8,8.1,0.345,1.6,5.5,0.29,1.2,2.5,0.464,0.444,2.0,2.4,0.846,0.2,2.1,2.4,2.7,0.8,0.1,1.1,1.7,9.2,,2025
6.0,Kamari McGee,G,37,4,21.9,2.3,5.0,0.457,1.1,2.3,0.459,1.2,2.7,0.455,0.563,0.9,1.1,0.805,0.6,2.1,2.7,1.8,0.9,0.1,0.7,2.1,6.5,,2025
7,Carter Gilmore,F,37,0,19.1,1.4,3.0,0.468,0.6,1.7,0.339,0.8,1.3,0.633,0.563,0.6,0.8,0.724,0.8,1.8,2.6,1.3,0.3,0.5,0.5,2.2,3.9,,2025
8,Xavier Amos,F,37,0,9.6,1.2,3.3,0.374,0.5,1.8,0.294,0.7,1.5,0.473,0.455,0.5,0.7,0.704,0.4,1.4,1.8,0.4,0.2,0.3,0.5,0.9,3.5,,2025
9,Jack Janicki,G,37,0,11.4,0.7,1.9,0.391,0.4,1.3,0.277,0.4,0.6,0.636,0.486,0.1,0.2,0.333,0.3,1.1,1.4,0.8,0.4,0.2,0.2,1.1,1.9,,2025
10,Markus Ilver,F,20,0,3.5,0.5,1.4,0.357,0.4,1.1,0.333,0.2,0.4,0.429,0.482,0.2,0.2,1.0,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.5,1.6,,2025
11,Riccardo Greppi,F,9,0,2.3,0.2,0.3,0.667,0.0,0.1,0.0,0.2,0.2,1.0,0.667,0.4,0.7,0.667,0.4,0.7,1.1,0.1,0.0,0.1,0.2,0.3,0.9,,2025
12,Jack Robison,F,13,0,1.2,0.2,0.3,0.5,0.2,0.2,1.0,0.0,0.2,0.0,0.75,0.0,0.0,,0.2,0.2,0.3,0.1,0.0,0.0,0.0,0.1,0.5,,2025
13,Camren Hunter,G,11,0,2.1,0.1,0.7,0.125,0.1,0.4,0.25,0.0,0.4,0.0,0.188,0.0,0.0,,0.2,0.3,0.5,0.1,0.0,0.0,0.2,0.4,0.3,,2025
14,Isaac Gard,G,13,0,1.0,0.1,0.1,1.0,0.1,0.1,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.2,,2025
15,Daniel Freitag,G,14,0,2.1,0.1,0.8,0.091,0.0,0.4,0.0,0.1,0.4,0.2,0.091,0.0,0.2,0.0,0.1,0.1,0.3,0.2,0.1,0.0,0.1,0.6,0.1,,2025
16,Chris Hodges,F,15,0,1.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.25,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,,2025
17,Aidan Konop,G,4,0,0.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2025
18 ,Team Totals,,37,37,200.7,26.8,59.0,0.454,9.9,28.4,0.348,16.9,30.6,0.552,0.538,16.6,20.2,0.826,9.4,27.1,36.5,14.5,5.1,2.4,9.6,16.5,80.1,,2025
1.0,AJ Storr,G,36,36,28.8,6.0,13.8,0.434,1.3,4.2,0.32,4.7,9.7,0.483,0.482,3.5,4.3,0.812,1.1,2.8,3.9,0.9,0.6,0.1,1.6,1.1,16.8,,2024
2,Steven Crowl,F,36,36,29.0,4.3,7.8,0.556,0.7,1.6,0.448,3.6,6.1,0.584,0.602,1.8,2.5,0.742,2.4,4.9,7.3,2.1,0.3,0.5,1.7,2.6,11.2,,2024
3,Tyler Wahl,F,36,36,28.4,4.1,7.6,0.535,0.1,0.4,0.188,4.0,7.1,0.556,0.54,2.4,3.7,0.659,1.9,3.5,5.4,1.9,1.1,0.6,1.7,2.6,10.6,,2024
4,Max Klesmit,G,36,36,28.7,3.3,7.5,0.437,1.8,4.6,0.398,1.4,2.9,0.5,0.559,1.6,1.9,0.824,0.3,1.9,2.1,1.9,0.9,0.1,1.1,2.1,9.9,,2024
5,Chucky Hepburn,G,35,35,33.3,3.3,7.7,0.429,1.1,3.3,0.322,2.2,4.4,0.51,0.498,1.6,2.2,0.737,0.6,2.7,3.3,3.9,2.1,0.1,1.2,2.0,9.2,,2024
6,John Blackwell,G,34,1,18.5,2.4,5.4,0.446,0.9,1.9,0.455,1.5,3.5,0.441,0.527,2.3,2.8,0.821,0.7,2.5,3.2,0.6,0.4,0.1,0.8,1.9,8.0,,2024
7,Connor Essegian,G,33,0,7.3,1.1,2.9,0.385,0.6,2.0,0.303,0.5,0.9,0.567,0.49,0.3,0.3,0.909,0.1,0.8,0.8,0.2,0.1,0.0,0.4,0.7,3.2,,2024
8,Nolan Winter,F,36,0,9.4,0.8,2.0,0.423,0.3,1.1,0.308,0.5,0.9,0.563,0.507,0.4,0.6,0.696,0.4,1.3,1.8,0.3,0.2,0.0,0.3,0.9,2.4,,2024
9,Kamari McGee,G,25,0,8.2,0.8,1.4,0.543,0.1,0.4,0.273,0.6,1.0,0.667,0.586,0.4,0.7,0.611,0.1,0.7,0.8,0.4,0.5,0.0,0.3,1.3,2.1,,2024
10,Carter Gilmore,F,33,0,9.2,0.6,1.2,0.487,0.1,0.4,0.25,0.5,0.8,0.593,0.526,0.6,0.7,0.792,0.7,0.7,1.4,0.5,0.1,0.0,0.5,1.2,1.8,,2024
11,Markus Ilver,F,27,0,5.9,0.4,1.3,0.314,0.3,1.0,0.25,0.1,0.3,0.571,0.414,0.1,0.1,0.667,0.4,0.9,1.3,0.2,0.2,0.1,0.2,0.7,1.1,,2024
12,Isaac Lindsey,G,16,0,3.7,0.3,0.8,0.308,0.1,0.4,0.143,0.2,0.4,0.5,0.346,0.1,0.1,0.5,0.1,0.3,0.4,0.2,0.1,0.1,0.2,0.6,0.6,,2024
13,Chris Hodges,F,11,0,1.9,0.0,0.4,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.1,0.4,0.25,0.4,0.2,0.5,0.2,0.0,0.3,0.0,0.0,0.1,,2024
14,Isaac Gard,G,6,0,1.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,2024
15,Luke Haertle,G,11,0,1.0,0.0,0.1,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0,,2024
16 ,Team Totals,,36,36,202.1,26.4,57.4,0.461,7.1,20.4,0.349,19.3,37.0,0.522,0.522,14.7,19.4,0.755,10.1,23.9,34.0,12.7,6.2,1.6,9.9,16.5,74.7,,2024
